permaticker,ticker,cik,effective_from,effective_to,research_sector,sector_etf,confidence,review_status,mapping_rationale,evidence,reviewer,review_date
194817,META,1326801,2018-10-01,,Communication Services,XLC,verified,pending,Facebook/Meta moved IT -> Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close). Corrected from 2018-06-19 per owner countersign 2 (ETF availability is not the classification date),GICS 2018 implementation schedule; XLC holdings,,
195146,GOOGL,1652044,2018-10-01,,Communication Services,XLC,verified,pending,Alphabet Class A moved IT -> Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),GICS 2018 implementation schedule; XLC holdings,,
119496,GOOG,1652044,2018-10-01,,Communication Services,XLC,verified,pending,Alphabet Class C moved IT -> Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),GICS 2018 implementation schedule; XLC holdings,,
193960,V,1403161,,2023-03-17,Information Technology,XLK,verified,pending,Visa - GICS Information Technology (data processing) through the 2023 revision,Owner countersign 2; GICS pre-2023 classification,,
193960,V,1403161,2023-03-20,,Financials,XLF,verified,pending,Visa - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers into Financials transaction processing,Owner countersign 2; GICS 2023 revision notes cite V/MA explicitly,,
195805,MA,1141391,,2023-03-17,Information Technology,XLK,verified,pending,Mastercard - GICS Information Technology through the 2023 revision,Owner countersign 2; GICS pre-2023 classification,,
195805,MA,1141391,2023-03-20,,Financials,XLF,verified,pending,Mastercard - GICS 2023 revision effective 2023-03-20 (after the 2023-03-17 close) moved transaction/payment processing and selected retailers into Financials transaction processing,Owner countersign 2; GICS 2023 revision notes cite V/MA explicitly,,
197197,DIS,1744489,,2018-09-28,Consumer Discretionary,XLY,verified,pending,Disney - Consumer Discretionary media pre-2018 restructure,Owner countersign 2,,
197197,DIS,1744489,2018-10-01,,Communication Services,XLC,verified,pending,Disney - media/entertainment moved to Communication Services; GICS 2018 restructure effective 2018-10-01 (after the 2018-09-28 close),Owner countersign 2; DIS is an XLC constituent,,
199357,SHW,89800,2013-01-01,,Materials,XLB,verified,pending,Sherwin-Williams - GICS Materials (specialty chemicals) despite retail SIC 5231,Archived-history criterion closed: continuous GICS Materials (specialty chemicals) classification and uninterrupted XLB constituency across the research window; no reclassification event on record,,
